u_id	f_id	score	actual name	result name
1152	/m/01yp_k	468.696991	Longwood University	Longwood University
1153	/m/023dhr	470.525482	Loras College	Loras College
1154	/m/09538z	448.270081	Louisiana College	Louisiana College
1155	/m/01pl14	1304.84729	Louisiana State University Health Sciences Center	Louisiana State University
1156	/m/0952mf	505.070557	Louisiana State University--Alexandria	Louisiana State University at Alexandria
1157	/m/01_qcn	655.346741	Louisiana State University--Shreveport	Louisiana State University in Shreveport
1158	/m/07yn3x	176.228424	Lourdes University	Lourdes College
1159	/m/01bzw5	779.037231	Loyola Marymount University	Loyola Marymount University
1160	/m/05b66g	507.272705	Lubbock Christian University	Lubbock Christian University
1161	/m/040xhg	426.152771	Lycoming College	Lycoming College
1162	/m/02pjfr2	643.68335	Lyme Academy College of Fine Arts	Lyme Academy College of Fine Arts
1163	/m/049rdj	435.696014	Lynchburg College	Lynchburg College
1164	/m/02m0y5	535.69751	Lyndon State College	Lyndon State College
1165	/m/08_462	452.84314	Lynn University	Lynn University
1166	/m/02zktk	361.843048	Lyon College	Lyon College
1167	/m/08b2fl	379.719421	MacMurray College	MacMurray College
1168	/m/04q8sx	410.89447	Madonna University	Madonna University
1169	/m/01ny2p	542.775696	Maharishi University of Management	Maharishi University of Management
1170	/m/05qs7g	464.248016	Maine College of Art	Maine College of Art
1171	/m/088x3v	519.694153	Maine Maritime Academy	Maine Maritime Academy
1172	/m/0cfvxn	214.807632	Malone University	Malone College
1173	/m/0lbfv	932.57312	Manchester University	University of Manchester
1174	/m/015q8z	426.040619	Manhattan Christian College	Manhattan Christian College
1175	/m/04ftdq	576.487183	Manhattan College	Manhattan College
1176	/m/04sylm	693.444641	Manhattan School of Music	Manhattan School of Music
1177	/m/037sfm	471.154449	Manhattanville College	Manhattanville College
1178	/m/096dk9	551.055603	Mansfield University of Pennsylvania	Mansfield University of Pennsylvania
1179	/m/02vpf9	598.791199	Maranatha Baptist Bible College	Maranatha Baptist Bible College
1180	/m/03sbhm	108.095337	Marian University - Indianapolis, IN	Marian University
1181	/m/0f1tk1	187.877747	Marian University - Fond du Lac, WI	Marian University
1182	/m/07rg6_	461.556641	Marietta College	Marietta College
1183	/m/02zb9f	522.614868	Marist College	Marist College
