415,/m/01vs3p,60.996418,University of Nebraska--Lincoln,University of Nebraska‰ÛÒLincoln,90,,,
1969,/m/015q1n,62.098213,university of kansas,University of Kansas,90,,,
513,/m/02594s,65.207214,University of North Carolina--Wilmington,University of North Carolina at Wilmington,90,,,
1738,/m/037k8z,74.840851,University of Texas--Pan American,University of Texas‰ÛÒPan American,90,,,
29,/m/0kddq,76.144913,University of North Carolina--Greensboro,University of North Carolina at Greensboro,90,,,
1688,/m/0187m6,83.533386,University of Missouri--St. Louis,University of Missouri‰ÛÒSt. Louis,90,,,
187,/m/0bx8pn,129.589584,University of North Carolina--Chapel Hill,University of North Carolina at Chapel Hill,90,,,
346,/m/0bx8pn,129.589584,University of North Carolina--Chapel Hill,University of North Carolina at Chapel Hill,90,,,
192,/m/0220q6,130.723114,University of Illinois--Urbana-Champaign,University of Illinois at Urbana-Champaign,90,,,
934,/m/01tt9j,8.313839,"Emmanuel College - Boston, MA","Emmanuel College, Boston",91,TRUE,,
841,/m/04nrt9,15.265963,"Concordia University - Ann Arbor, MI","Concordia University, Ann Arbor, Michigan",91,TRUE,,
1538,/m/02ws5h,22.568901,St. Leo University,Saint Leo University,91,TRUE,,
1555,/m/0l07h,26.000729,St. Vincent College,Saint Vincent College,91,,,
334,/m/06blg9,27.808678,St. Anselm College,Saint Anselm College,91,,,
1951,/m/024818,44.524731,University of Illinois-- Springfield,University of Illinois at Springfield,91,,,
1237,/m/0f2lw0,48.626347,Milwaukee Institute of Art and Design,Milwaukee Institute of Art & Design,91,,,
1357,/m/05l0dl,66.055832,Oregon Health and Science University,Oregon Health & Science University,91,,,
1946,/m/0trv,69.636246,Arizona state university,Arizona State University,91,,,
1588,/m/04_f49,71.325699,Texas A&M University--Corpus Christi,Texas A&M University‰ÛÒCorpus Christi,91,,,
128,/m/016vf7,85.627518,University of Missouri--Kansas City,University of Missouri‰ÛÒKansas City,91,,,
839,/m/0brwpd,143.104187,"Concordia College - Selma, AL","Concordia College, Selma",91,,,
843,/m/09hh3g,17.206266,"Concordia University - Irvine, CA","Concordia University, Irvine",92,TRUE,,
1516,/m/0bv2wv,21.579359,St. Catharine College,Saint Catharine College,92,TRUE,,
1058,/m/02jwl7,39.015064,Indiana University--Kokomo,Indiana University Kokomo,92,,,
